temp,PLD,taxon,feeding type
low,16,Annelida,L
low,16,Annelida,L
high,4,Annelida,L
low,15,Annelida,L
low,10,Annelida,L
high,5,Annelida,L
low,16,Annelida,L
low,7,Annelida,L
high,7,Annelida,L
high,8,Annelida,P
high,7,Annelida,P
high,5,Annelida,P
high,4,Annelida,P
low,46,Annelida,P
high,30,Annelida,P
high,19,Arthropoda,L
high,11,Arthropoda,L
high,133,Arthropoda,L
high,46,Arthropoda,L
high,20,Arthropoda,L
low,129,Arthropoda,L
low,60,Arthropoda,L
low,43,Arthropoda,L
low,33,Arthropoda,L
high,19,Arthropoda,L
low,84,Arthropoda,L
low,39,Arthropoda,L
low,32,Arthropoda,L
low,23,Arthropoda,L
high,17,Arthropoda,L
high,17,Arthropoda,P
high,14,Arthropoda,P
high,10,Arthropoda,P
high,8,Arthropoda,P
high,9,Arthropoda,P
high,8,Arthropoda,P
high,5,Arthropoda,P
high,4,Arthropoda,P
high,10,Arthropoda,P
high,7,Arthropoda,P
high,5,Arthropoda,P
high,4,Arthropoda,P
low,17,Arthropoda,P
high,8,Arthropoda,P
high,5,Arthropoda,P
high,3,Arthropoda,P
low,64,Arthropoda,P
high,32,Arthropoda,P
high,21,Arthropoda,P
low,50,Arthropoda,P
high,26,Arthropoda,P
high,19,Arthropoda,P
high,17,Arthropoda,P
high,17,Arthropoda,P
low,123,Arthropoda,P
low,99,Arthropoda,P
low,85,Arthropoda,P
low,64,Arthropoda,P
high,32,Arthropoda,P
low,55,Arthropoda,P
high,30,Arthropoda,P
high,26,Arthropoda,P
low,100,Arthropoda,P
low,57,Arthropoda,P
low,63,Arthropoda,P
high,42,Arthropoda,P
high,30,Arthropoda,P
high,16,Arthropoda,P
high,15,Arthropoda,P
low,42,Arthropoda,P
low,16,Arthropoda,P
high,10,Arthropoda,P
high,7,Arthropoda,P
low,94,Arthropoda,P
high,61,Arthropoda,P
high,45,Arthropoda,P
high,54,Arthropoda,P
high,22,Arthropoda,P
high,29,Arthropoda,P
high,17,Arthropoda,P
low,110,Arthropoda,P
low,65,Arthropoda,P
high,45,Arthropoda,P
high,34,Arthropoda,P
high,24,Arthropoda,P
low,104,Arthropoda,P
low,55,Arthropoda,P
high,32,Arthropoda,P
high,20,Arthropoda,P
high,41,Arthropoda,P
high,28,Arthropoda,P
high,12,Arthropoda,P
high,10,Arthropoda,P
high,8,Arthropoda,P
high,49,Arthropoda,P
high,32,Arthropoda,P
high,28,Arthropoda,P
low,107,Arthropoda,P
low,49,Arthropoda,P
high,33,Arthropoda,P
high,31,Arthropoda,P
high,19,Arthropoda,P
high,14,Arthropoda,P
high,18,Arthropoda,P
high,14,Arthropoda,P
high,37,Arthropoda,P
high,20,Arthropoda,P
high,17,Arthropoda,P
high,22,Arthropoda,P
high,9,Arthropoda,P
high,6,Arthropoda,P
high,30,Arthropoda,P
high,17,Arthropoda,P
high,16,Arthropoda,P
low,97,Arthropoda,P
low,70,Arthropoda,P
high,32,Arthropoda,P
high,23,Arthropoda,P
high,45,Arthropoda,P
high,30,Arthropoda,P
high,26,Arthropoda,P
high,15,Arthropoda,P
high,11,Arthropoda,P
high,38,Arthropoda,P
high,25,Arthropoda,P
high,18,Arthropoda,P
high,13,Arthropoda,P
low,20,Arthropoda,P
low,12,Arthropoda,P
high,10,Arthropoda,P
high,25,Arthropoda,P
high,20,Arthropoda,P
high,19,Arthropoda,P
high,20,Arthropoda,P
high,15,Arthropoda,P
low,9,Brachiopoda,L
low,7,Brachiopoda,L
high,5,Brachiopoda,L
high,8,Brachiopoda,P
low,9,Brachiopoda,L
low,22,Brachiopoda,P
high,15,Brachiopoda,P
high,13,Brachiopoda,P
high,12,Chordata,P
high,9,Chordata,P
low,6,Chordata,P
low,5,Chordata,P
low,4,Chordata,P
low,56,Chordata,P
low,40,Chordata,P
low,33,Chordata,P
low,27,Chordata,P
low,25,Chordata,P
low,23,Chordata,P
low,80,Chordata,P
low,49,Chordata,P
low,3,Chordata,P
low,1,Chordata,P
high,12,Chordata,P
high,9,Chordata,P
high,3,Chordata,L
high,2,Chordata,L
high,4,Chordata,L
low,12,Chordata,L
low,6,Chordata,L
low,6,Chordata,L
low,5,Chordata,L
high,9,Echinodermata,L
high,6,Echinodermata,L
high,22,Echinodermata,L
high,12,Echinodermata,L
high,14,Echinodermata,L
high,22,Echinodermata,L
high,17,Echinodermata,L
high,13,Echinodermata,L
low,8,Echinodermata,P
low,18,Echinodermata,P
low,11,Echinodermata,L
low,35,Echinodermata,L
high,4,Echinodermata,P
high,3,Echinodermata,P
high,40,Echinodermata,P
high,25,Echinodermata,P
high,3,Mollusca,L
high,2,Mollusca,L
high,2,Mollusca,L
high,2,Mollusca,L
high,4,Mollusca,L
high,3,Mollusca,L
low,8,Mollusca,L
high,3,Mollusca,L
low,18,Mollusca,L
low,15,Mollusca,L
high,9,Mollusca,L
high,13,Mollusca,L
high,11,Mollusca,L
high,8,Mollusca,L
low,30,Mollusca,L
high,27,Mollusca,L
high,16,Mollusca,L
high,7,Mollusca,L
low,4,Mollusca,L
low,3,Mollusca,L
high,26,Mollusca,P
high,20,Mollusca,P
low,42,Mollusca,P
high,34,Mollusca,P
high,18,Mollusca,P
high,18,Mollusca,P
high,10,Mollusca,P
high,20,Mollusca,P
high,14,Mollusca,P
low,72,Mollusca,P
high,31,Mollusca,P
high,29,Mollusca,P
high,18,Mollusca,P
low,35,Mollusca,P
high,19,Mollusca,P
low,39,Mollusca,P
high,16,Mollusca,P
high,21,Mollusca,P
high,16,Mollusca,P
high,10,Mollusca,P
high,38,Mollusca,P
high,22,Mollusca,P
high,17,Mollusca,P
high,19,Mollusca,P
high,24,Mollusca,P
high,22,Mollusca,P
high,16,Mollusca,P
high,21,Mollusca,P
high,17,Mollusca,P
high,13,Mollusca,P
